Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
125	1636.21	1374.90	1534.20	1349.76	1417.65	1263.98	1205.95	1124.96	975.67	947.32	730.99	745.48	464.76	492.15	256.10	300.57	160.64	235.68	135.84	254.32	129.79	311.49	190.76	385.75
126	1634.80	1378.05	1533.42	1350.22	1416.73	1266.34	1204.93	1124.59	974.71	948.24	730.19	744.30	464.02	489.53	255.42	298.45	160.25	235.33	135.65	252.53	129.22	308.81	190.33	386.35
127	1635.40	1381.38	1533.60	1352.97	1417.13	1269.48	1204.95	1125.90	974.60	950.08	730.14	745.65	464.08	493.82	255.58	300.21	160.37	236.32	135.83	252.16	129.38	311.56	190.30	387.95
128	1634.54	1374.87	1533.30	1351.41	1416.85	1265.58	1204.91	1126.16	974.44	950.02	729.81	745.98	463.74	493.69	255.23	299.44	159.89	235.63	135.19	251.20	128.86	309.71	189.81	386.90
129	1635.60	1371.79	1533.89	1352.16	1417.34	1270.40	1205.66	1126.92	975.38	951.97	730.62	741.43	464.34	493.77	255.53	300.64	159.94	236.21	134.99	252.59	128.72	307.67	189.76	386.60
130	1635.44	1379.54	1533.76	1356.23	1417.05	1272.45	1205.60	1128.07	975.22	951.62	730.49	744.25	464.30	492.89	255.64	300.94	160.14	236.31	135.16	251.98	128.80	298.08	189.99	386.69
131	1635.30	1381.81	1533.57	1359.28	1416.91	1273.32	1205.09	1129.74	974.75	954.04	730.19	745.96	464.26	494.89	255.69	300.77	160.21	237.55	135.45	251.65	129.17	310.24	190.21	388.52
132	1634.67	1383.33	1533.02	1359.09	1416.40	1273.36	1204.89	1129.65	974.33	953.45	729.64	746.77	463.72	495.14	255.18	299.68	160.05	237.28	135.31	253.23	129.01	310.31	189.98	389.37
133	1635.89	1385.78	1534.22	1359.63	1417.48	1275.60	1205.64	1131.86	975.19	954.61	730.37	747.53	464.32	494.49	255.53	300.47	160.09	237.65	135.51	253.74	129.02	309.61	189.92	388.98
134	1636.03	1387.30	1534.03	1361.15	1417.41	1278.07	1205.51	1132.98	974.95	955.48	730.26	747.15	464.13	494.49	255.66	301.11	160.39	237.91	135.74	254.58	129.36	308.57	190.33	389.53
135	1634.86	1383.33	1533.45	1361.14	1417.02	1279.61	1205.23	1132.36	974.76	953.98	730.20	747.28	463.99	494.81	255.25	300.54	160.04	236.56	135.11	251.94	128.82	305.75	189.93	389.94
136	1634.35	1382.74	1532.66	1363.98	1416.22	1279.89	1204.67	1135.32	974.55	956.76	729.79	748.98	463.74	497.01	255.27	301.36	160.05	238.57	135.27	253.94	128.90	311.78	190.06	390.86
137	1634.99	1388.40	1533.35	1364.34	1416.75	1281.01	1204.82	1134.86	974.44	956.54	729.77	748.21	463.83	497.01	255.40	301.85	159.97	238.50	135.21	253.43	129.11	308.94	190.32	389.44
138	1634.72	1393.68	1533.55	1363.51	1417.01	1283.02	1205.42	1135.92	975.16	957.21	730.57	748.60	464.52	496.97	255.67	301.29	160.46	237.45	135.61	254.64	129.18	308.70	190.27	391.26
139	1635.41	1397.96	1533.67	1368.26	1417.24	1284.51	1205.65	1136.62	975.27	958.21	730.60	750.29	464.52	497.36	255.86	301.90	160.47	238.77	135.67	256.24	129.68	312.00	190.80	391.08
140	1635.21	1397.64	1533.90	1369.29	1417.27	1284.77	1205.41	1136.55	974.96	958.53	730.11	748.54	464.02	496.82	255.26	302.10	160.05	238.52	135.23	255.19	129.08	308.67	190.06	390.65
141	1635.75	1394.86	1534.28	1368.81	1417.73	1286.96	1206.12	1139.78	975.74	960.37	730.88	749.69	464.63	498.02	255.68	302.32	160.20	239.18	135.29	255.78	128.46	307.48	189.41	390.99
142	1635.51	1397.14	1534.11	1370.78	1417.59	1286.61	1205.88	1140.87	975.44	959.95	730.69	749.71	464.37	498.47	255.46	302.49	159.86	238.39	135.24	255.26	129.08	309.12	189.92	390.93
143	1634.87	1400.54	1533.29	1373.97	1416.77	1287.83	1205.26	1141.59	974.31	960.35	729.74	750.14	463.71	498.46	255.24	303.08	159.90	239.16	135.34	256.00	129.32	309.08	190.53	392.59
144	1635.02	1399.35	1533.25	1374.45	1416.38	1288.09	1204.74	1141.74	974.59	962.22	730.09	752.89	464.01	498.76	255.29	303.87	159.85	240.03	135.25	256.42	128.98	311.41	190.05	392.76
145	1635.08	1398.93	1533.02	1372.48	1416.59	1286.02	1204.54	1141.13	974.57	960.99	730.01	752.24	464.17	498.48	255.18	302.99	159.85	238.81	135.09	255.39	128.63	312.75	189.57	392.40
146	1634.54	1402.39	1532.72	1373.42	1416.00	1288.65	1204.54	1141.98	973.93	961.60	729.48	751.33	463.59	498.25	255.04	303.97	159.92	239.57	135.29	256.89	128.82	309.59	189.97	391.51
147	1634.86	1407.81	1533.44	1374.14	1417.09	1290.94	1205.27	1140.48	974.70	962.90	730.10	752.46	463.85	498.53	255.33	304.01	160.07	239.97	135.32	256.30	129.19	307.42	190.17	393.27
148	1634.06	1408.24	1531.71	1373.55	1415.19	1291.23	1203.53	1142.25	973.71	963.47	729.40	753.45	463.33	498.72	255.03	303.82	159.73	240.97	135.23	256.53	129.15	309.37	190.28	392.97
149	1635.83	1413.49	1533.85	1376.46	1417.22	1292.21	1205.46	1144.51	975.15	964.35	730.52	755.54	464.35	500.91	255.94	304.98	160.22	241.11	135.47	257.68	129.18	312.48	190.35	392.84
150	1634.81	1407.08	1533.04	1378.48	1416.28	1295.12	1204.52	1145.14	974.22	965.35	729.65	755.42	463.81	500.26	255.15	304.38	160.10	241.04	135.58	256.80	129.37	312.45	190.35	393.43
151	1635.59	1408.92	1533.64	1380.21	1417.09	1296.15	1205.35	1145.81	974.91	965.71	730.12	755.50	464.12	499.70	255.49	304.55	160.13	241.05	135.42	257.54	128.92	308.49	190.05	393.91
152	1635.08	1414.15	1533.67	1379.63	1417.00	1296.37	1205.19	1147.69	974.83	966.70	730.60	756.51	464.51	502.16	255.82	305.03	160.76	241.70	136.03	257.97	129.45	310.19	190.28	392.96
153	1635.02	1411.75	1533.20	1379.85	1416.78	1296.27	1204.96	1147.74	974.60	967.07	729.90	757.09	463.94	502.01	255.35	305.45	160.11	241.73	135.29	258.03	129.02	312.98	190.22	393.75
154	1635.26	1419.23	1533.33	1381.31	1416.42	1297.15	1204.37	1148.14	973.88	967.29	729.42	757.60	463.72	501.81	255.08	304.69	160.05	242.20	135.60	258.72	129.15	313.38	189.99	393.98
155	1635.16	1420.50	1534.08	1381.43	1417.37	1298.11	1205.33	1148.86	974.86	968.27	730.29	757.63	464.38	502.41	255.78	305.67	160.24	242.14	135.55	258.30	128.99	310.65	190.04	394.45
156	1635.61	1420.19	1533.27	1381.79	1416.89	1299.19	1205.06	1150.19	974.63	968.31	729.83	757.91	463.62	502.67	255.14	305.64	159.86	242.56	135.28	258.74	129.06	312.12	190.12	395.30
157	1635.18	1417.30	1533.65	1385.13	1416.82	1300.38	1205.12	1151.33	974.65	969.45	729.80	757.41	463.83	502.14	255.34	306.22	159.98	242.60	135.25	259.06	128.91	314.06	190.06	395.42
158	1636.44	1422.84	1534.39	1386.20	1417.57	1301.86	1205.84	1152.46	975.28	970.02	730.51	758.54	464.34	502.71	255.50	306.47	160.11	243.32	135.35	259.24	129.04	314.45	190.01	395.90
159	1635.68	1421.31	1534.14	1386.38	1417.33	1303.54	1205.49	1153.06	975.04	970.41	730.41	759.43	464.33	504.14	255.65	306.55	160.30	243.45	135.61	259.59	129.11	313.32	190.06	395.91
160	1635.62	1424.58	1533.82	1387.56	1417.12	1303.38	1205.26	1153.31	975.04	971.00	730.43	759.45	464.27	504.04	255.49	306.57	160.18	243.43	135.21	259.73	129.06	312.85	190.14	395.95
161	1634.55	1428.34	1533.14	1389.07	1416.64	1304.23	1205.02	1154.18	974.50	971.36	729.97	760.02	463.67	503.36	254.91	305.87	159.62	242.45	135.11	257.87	128.97	312.07	190.12	395.36
162	1633.86	1432.09	1532.49	1389.59	1415.96	1305.03	1204.29	1154.75	973.97	971.99	729.42	760.83	463.57	504.29	255.11	306.96	159.86	244.42	135.23	259.68	129.00	314.06	189.99	395.69
163	1635.18	1433.91	1533.61	1391.63	1417.06	1306.29	1205.33	1156.37	974.93	972.57	730.14	759.28	463.92	504.56	255.32	307.25	160.05	244.44	135.64	260.26	129.36	316.02	190.36	396.75
164	1634.43	1434.81	1532.68	1392.04	1416.28	1306.97	1204.79	1156.09	974.33	972.75	729.46	760.87	463.22	503.88	254.98	306.59	159.86	243.83	135.34	259.56	129.25	314.41	190.38	396.99
165	1635.10	1434.85	1533.39	1392.94	1416.84	1307.54	1205.15	1157.18	974.80	973.67	730.27	761.79	464.13	504.53	255.48	307.73	159.98	244.66	135.35	260.54	129.32	313.12	190.38	396.43
166	1634.77	1431.29	1533.55	1392.81	1416.82	1308.26	1204.99	1156.96	974.73	973.89	730.19	761.16	464.23	505.16	255.62	308.19	160.47	245.60	135.74	261.27	129.11	313.79	190.08	397.05
167	1634.97	1435.05	1533.21	1394.07	1416.61	1308.40	1204.57	1157.11	974.09	974.08	729.52	761.32	463.51	504.87	255.09	307.05	159.84	244.41	135.21	260.21	128.82	315.47	189.84	397.25
168	1634.14	1435.75	1533.11	1395.04	1416.54	1310.23	1204.69	1159.29	974.39	974.73	729.72	762.84	463.68	505.41	254.75	307.58	159.72	244.74	135.33	260.42	128.99	314.93	189.92	396.99
169	1635.91	1440.51	1534.00	1396.68	1417.39	1311.86	1205.84	1160.45	975.34	976.80	730.69	764.21	464.39	506.48	255.63	308.85	160.26	246.31	135.33	262.22	128.96	316.54	190.21	397.97
170	1631.80	1435.20	1530.49	1394.78	1414.53	1310.03	1203.32	1158.76	973.46	975.29	729.17	762.72	463.38	505.36	254.96	307.15	159.74	245.11	134.93	260.70	128.46	315.80	189.53	397.29
171	1635.22	1438.38	1533.36	1395.78	1417.00	1312.29	1205.25	1160.30	975.05	976.71	730.46	763.98	464.20	507.04	255.68	309.45	160.07	246.52	135.37	261.42	129.17	315.71	190.21	397.62
172	1634.75	1439.86	1533.09	1396.64	1416.51	1312.93	1204.86	1161.18	974.57	976.93	730.06	763.47	464.02	506.75	255.52	309.39	160.39	246.80	135.57	262.24	129.13	317.83	190.18	398.62
173	1633.95	1443.06	1533.05	1398.16	1416.74	1314.74	1205.20	1162.27	974.81	977.51	730.25	764.40	464.14	506.48	255.35	308.74	160.08	246.76	135.40	261.87	129.45	317.06	190.53	398.26
174	1633.76	1442.51	1533.01	1399.26	1416.34	1314.41	1204.89	1162.36	974.46	977.38	729.85	764.36	463.75	506.33	254.94	309.09	159.75	246.34	135.09	262.17	128.48	315.70	189.60	397.97
175	1635.58	1443.97	1533.69	1400.27	1417.06	1315.93	1205.17	1163.07	974.88	978.36	730.08	764.66	464.00	507.29	255.34	309.39	159.87	246.93	135.15	262.43	128.97	316.02	189.99	397.75
176	1635.32	1444.54	1533.48	1400.70	1417.05	1315.88	1205.40	1163.76	975.11	979.16	730.41	765.51	464.18	508.01	255.65	310.25	160.32	247.83	135.49	263.10	129.37	318.88	190.67	399.35
177	1635.36	1445.87	1533.47	1401.90	1417.09	1316.48	1205.19	1164.13	974.74	979.23	730.09	765.72	463.86	507.69	255.31	309.86	160.06	247.06	135.41	262.80	128.92	317.61	189.88	398.51
178	1635.48	1446.15	1533.97	1402.00	1417.36	1317.30	1205.69	1165.16	975.23	979.97	730.57	766.60	464.51	508.82	255.80	310.69	160.15	248.44	135.24	263.53	128.66	318.38	189.60	398.59
179	1634.44	1447.15	1533.05	1401.97	1416.45	1317.29	1204.84	1164.93	974.55	979.85	729.92	766.53	463.74	508.22	255.08	310.11	159.93	247.91	135.11	263.53	129.00	317.73	190.22	399.06
180	1635.72	1448.68	1533.76	1403.19	1417.13	1317.88	1205.69	1166.01	975.35	980.80	730.74	767.38	464.63	509.26	255.88	311.02	160.22	248.40	135.47	263.83	128.91	319.19	189.83	399.27
181	1634.62	1449.79	1532.54	1403.50	1416.09	1317.81	1204.42	1165.59	974.03	980.09	729.58	766.78	463.41	508.52	255.29	310.66	160.13	248.77	135.51	264.67	128.69	319.67	189.82	399.34
182	1635.94	1450.52	1534.06	1403.98	1417.18	1318.65	1205.43	1166.57	974.94	980.91	730.42	767.53	464.30	509.38	255.76	309.51	160.54	248.89	136.18	265.22	129.96	320.15	190.94	400.18
183	1634.15	1450.56	1532.92	1403.05	1416.51	1318.82	1204.75	1166.70	974.38	980.72	729.65	767.18	463.55	508.84	255.03	310.01	159.75	248.43	135.18	264.15	129.03	320.03	190.17	399.64
184	1634.95	1448.94	1533.44	1404.04	1416.98	1319.42	1205.08	1166.92	974.67	981.08	729.82	767.28	463.85	509.03	255.32	310.81	160.16	249.00	135.55	264.62	129.42	319.70	190.39	399.39
185	1635.22	1450.37	1533.59	1404.77	1417.23	1319.89	1205.34	1167.61	975.10	981.88	730.47	768.25	464.34	509.81	255.67	311.54	160.34	249.63	135.72	265.18	129.34	321.41	190.31	400.10
186	1635.78	1452.67	1533.99	1405.23	1417.48	1320.68	1205.56	1168.09	974.77	981.72	730.27	768.18	464.21	509.77	255.51	311.26	160.15	249.39	135.41	265.05	128.76	321.01	189.81	400.11
187	1635.54	1452.90	1533.97	1405.86	1417.31	1320.78	1205.68	1168.39	975.23	982.35	730.41	768.52	464.22	509.94	255.45	311.43	160.09	249.38	135.55	265.02	129.14	320.49	190.02	399.74
188	1634.27	1453.40	1532.91	1405.63	1416.50	1320.65	1204.93	1168.15	974.52	982.03	729.96	768.49	463.96	510.01	255.35	311.56	159.91	249.61	134.98	264.90	128.67	321.20	189.75	399.71
189	1634.56	1453.43	1533.07	1405.81	1416.68	1320.89	1204.88	1168.24	974.61	982.30	730.05	768.59	463.93	509.87	255.30	311.64	160.02	249.76	135.16	265.33	129.08	321.40	190.11	400.15
190	1634.58	1454.11	1532.98	1405.69	1416.41	1320.82	1204.55	1168.24	974.43	982.26	729.58	768.58	463.73	509.82	255.07	311.48	160.04	249.79	135.38	265.76	128.81	321.98	189.56	399.66
191	1635.30	1455.48	1533.85	1406.41	1417.30	1321.62	1205.60	1169.11	975.12	982.95	730.39	769.26	464.11	510.31	255.45	311.90	160.10	250.30	135.47	266.02	129.46	321.60	190.60	400.15
192	1634.99	1454.97	1533.27	1406.47	1416.75	1321.60	1205.13	1169.08	974.49	982.54	729.70	768.75	463.71	509.95	255.15	311.73	160.11	250.33	135.34	266.56	128.83	322.16	189.92	400.43
193	1635.15	1455.76	1533.37	1406.78	1416.76	1321.77	1205.19	1169.40	974.97	983.19	730.17	769.35	463.76	510.34	255.03	311.84	159.93	250.53	135.40	266.94	129.27	323.77	190.39	400.88
194	1635.27	1456.29	1533.91	1407.19	1417.29	1322.14	1205.60	1169.63	975.27	983.42	730.38	769.51	464.03	510.43	255.44	312.10	160.17	250.52	135.53	266.75	129.40	322.91	190.57	400.64
195	1635.20	1456.45	1533.74	1407.34	1417.23	1322.19	1205.29	1169.62	974.87	983.35	730.25	769.58	464.25	510.87	255.53	312.41	160.19	250.89	135.57	267.23	129.24	323.42	190.22	400.54
196	1635.20	1456.69	1533.77	1407.34	1417.16	1322.10	1205.39	1169.68	974.89	983.28	730.23	769.57	464.10	510.73	255.54	312.32	160.26	250.86	135.74	267.31	129.15	323.34	190.06	400.45
197	1634.36	1455.99	1533.11	1407.02	1416.79	1322.06	1204.87	1169.37	974.64	983.19	730.07	769.47	464.03	510.67	255.34	312.19	160.03	250.63	135.23	267.02	128.82	323.11	189.87	400.31
198	1635.42	1456.80	1533.65	1407.51	1417.06	1322.28	1205.08	1169.62	974.57	983.17	729.89	769.46	463.68	510.44	255.02	312.05	159.63	250.61	134.81	267.01	128.44	323.11	189.73	400.38
199	1635.38	1456.75	1533.81	1407.51	1417.16	1322.35	1205.33	1169.76	975.07	983.57	730.41	769.97	464.30	510.97	255.66	312.58	160.43	251.21	135.57	267.70	129.31	323.53	190.31	400.56
200	1634.34	1456.56	1532.77	1406.91	1416.25	1321.71	1204.63	1169.24	974.32	982.93	729.85	769.35	463.77	510.36	255.15	311.86	159.83	250.23	135.28	266.65	129.03	322.79	190.13	400.17
