Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
30	1635.42	1085.59	1533.64	1068.88	1416.92	1012.53	1205.02	924.51	974.56	809.80	729.96	665.36	464.09	460.41	255.47	288.12	160.26	230.55	135.41	253.79	128.87	298.30	189.89	173.64
31	1635.58	1093.30	1534.02	1076.01	1417.40	1019.91	1205.56	931.54	975.13	813.58	730.50	669.54	464.43	463.31	255.83	290.74	160.41	232.93	135.81	256.90	129.43	303.42	190.41	181.39
32	1636.26	1100.85	1534.16	1081.86	1417.15	1025.54	1205.07	936.50	974.58	816.83	729.92	671.63	464.04	464.20	255.53	289.68	160.14	232.24	135.70	255.12	129.31	304.17	190.37	187.36
33	1635.67	1107.88	1533.92	1088.91	1417.29	1032.72	1205.79	942.90	975.29	822.35	730.63	672.82	464.43	465.92	255.82	291.02	160.36	233.47	135.41	256.29	128.99	305.60	190.07	193.87
34	1635.66	1113.45	1533.82	1094.67	1417.32	1038.22	1205.45	946.30	975.04	826.20	730.12	675.29	463.98	466.41	255.35	289.58	160.14	230.68	135.55	254.18	129.55	304.11	190.52	199.76
35	1634.41	1118.24	1532.76	1099.42	1416.21	1043.42	1204.55	950.41	974.21	828.30	729.52	677.38	463.60	466.88	255.25	290.22	159.98	231.75	135.36	255.60	128.75	308.47	189.79	206.02
36	1635.70	1124.96	1533.77	1106.41	1417.15	1048.88	1205.31	956.31	974.76	832.31	730.10	679.82	464.14	468.08	255.48	291.24	160.06	232.12	135.26	256.29	129.24	308.57	190.39	211.55
37	1635.63	1131.26	1533.71	1112.61	1417.23	1053.09	1205.60	959.28	975.21	835.12	730.49	680.26	464.29	468.19	255.44	291.53	160.19	230.75	135.05	256.57	129.13	310.82	190.32	216.75
38	1633.67	1132.97	1532.00	1116.78	1415.87	1056.99	1204.60	964.36	974.50	838.40	730.00	682.41	463.77	467.23	255.18	290.76	159.90	230.74	135.21	255.64	128.89	312.53	189.92	222.15
39	1635.46	1139.67	1533.31	1124.03	1416.80	1063.98	1205.08	968.16	974.74	842.06	730.05	684.46	463.93	467.34	255.21	289.97	159.95	229.74	135.34	253.60	128.96	310.27	190.09	226.90
40	1634.83	1146.29	1533.30	1128.39	1416.86	1070.78	1205.07	973.21	974.69	843.64	729.87	687.78	463.67	470.05	255.14	291.09	160.09	230.69	135.50	254.73	129.07	314.44	190.16	231.96
41	1635.67	1151.14	1533.74	1133.45	1417.01	1075.02	1205.34	977.24	975.03	846.85	730.41	690.96	464.22	472.75	255.33	292.46	159.88	230.94	134.75	256.20	128.34	315.99	189.51	237.52
42	1634.17	1155.54	1533.00	1139.31	1416.57	1080.41	1204.72	981.01	974.44	849.47	729.86	692.76	463.90	473.55	255.14	292.20	159.92	231.83	135.20	254.60	129.15	319.00	190.22	242.36
43	1634.88	1160.26	1533.46	1141.48	1417.02	1082.99	1205.48	984.18	974.96	851.70	730.34	692.21	464.22	472.66	255.75	291.87	160.46	231.07	135.60	254.24	129.38	313.27	190.47	246.13
44	1633.48	1161.24	1532.63	1146.86	1416.39	1085.07	1204.87	986.50	974.64	854.07	730.14	694.19	464.16	472.72	255.55	290.17	160.26	230.23	135.59	252.58	129.38	312.77	190.44	250.44
45	1634.53	1165.91	1532.38	1150.18	1415.62	1090.65	1204.20	990.56	974.04	856.62	729.53	694.04	463.58	475.12	254.98	291.12	159.73	231.21	135.32	254.21	128.88	315.04	190.00	254.54
46	1635.10	1171.75	1533.83	1156.02	1417.33	1095.89	1205.53	995.74	975.01	859.74	730.41	698.74	464.35	476.77	255.83	292.39	160.40	231.96	135.81	254.99	129.58	317.07	190.49	258.92
47	1635.14	1178.43	1533.82	1161.46	1417.11	1099.97	1205.35	997.25	974.77	862.74	730.01	698.99	464.03	477.05	255.52	292.51	160.21	230.91	135.58	255.06	128.92	318.62	189.84	262.50
48	1634.18	1180.39	1532.83	1164.53	1416.55	1103.91	1204.98	1000.28	974.49	864.47	729.85	700.63	463.60	477.72	254.88	292.49	159.59	231.00	135.00	255.66	128.69	320.69	189.78	265.45
49	1635.12	1186.68	1533.52	1169.61	1416.98	1108.18	1205.29	1002.95	974.96	866.58	730.13	700.72	464.13	478.00	255.29	292.92	159.83	231.85	135.04	255.92	128.51	322.03	189.54	270.06
50	1633.55	1185.43	1531.68	1172.92	1415.50	1110.94	1204.31	1005.89	974.13	867.64	729.76	702.23	463.90	477.70	255.51	292.91	160.27	231.41	135.49	256.03	129.67	322.03	190.88	274.50
51	1633.22	1190.61	1532.15	1176.64	1415.43	1116.40	1203.39	1006.99	973.29	869.91	728.96	703.75	463.38	479.09	254.85	293.66	159.67	232.19	134.94	256.98	128.51	321.95	189.72	277.18
52	1634.93	1190.78	1533.19	1181.86	1416.55	1120.45	1204.56	1010.76	974.36	872.16	729.71	700.20	463.69	476.07	255.18	292.07	159.79	228.67	135.17	253.06	129.15	321.62	190.34	280.14
53	1635.66	1196.80	1533.81	1184.67	1417.19	1123.10	1205.51	1015.75	975.28	874.13	730.75	706.51	464.59	479.82	255.80	295.44	160.40	232.93	135.58	257.38	129.45	325.02	190.51	284.44
