Epoch	layer1_Baseline	layer1_LCM	layer2_Baseline	layer2_LCM	layer3_Baseline	layer3_LCM	layer4_Baseline	layer4_LCM
65	-124226.91	-115799.52	-28472.29	-27110.55	5840.11	4973.95	-42675.48	-40915.78
66	-124316.48	-115912.23	-28479.27	-27112.07	5856.07	5028.14	-42679.52	-40924.49
67	-124296.06	-115873.41	-28476.66	-27105.01	5849.19	5069.34	-42691.94	-40945.88
68	-124171.97	-115689.62	-28456.14	-27077.81	5855.50	5107.72	-42684.23	-40923.71
69	-124205.85	-115731.57	-28450.00	-27069.45	5850.50	5142.91	-42680.89	-40915.67
70	-124289.14	-115743.49	-28460.62	-27070.03	5845.74	5179.50	-42684.65	-40927.32
71	-124206.28	-115694.46	-28462.36	-27068.87	5848.06	5215.93	-42684.25	-40916.54
72	-124191.03	-115679.13	-28465.96	-27073.98	5823.72	5233.04	-42687.40	-40923.62
73	-124239.82	-115703.62	-28459.63	-27065.56	5837.90	5281.40	-42694.06	-40937.01
74	-124050.60	-115479.83	-28411.83	-27008.33	5846.68	5319.65	-42688.08	-40921.06
75	-124375.15	-115770.31	-28496.27	-27084.04	5846.78	5350.13	-42685.72	-40918.56
76	-124218.86	-115671.63	-28475.49	-27068.57	5839.65	5373.55	-42683.08	-40916.86
77	-124142.99	-115507.45	-28439.73	-27024.55	5853.21	5418.60	-42684.20	-40914.79
78	-124048.89	-115413.60	-28401.76	-26988.78	5869.90	5460.15	-42687.51	-40917.16
79	-124097.39	-115415.07	-28424.90	-27001.68	5858.97	5484.74	-42684.00	-40910.85
80	-124272.96	-115604.97	-28483.73	-27064.67	5826.46	5482.73	-42703.78	-40933.75
81	-124345.42	-115670.30	-28498.16	-27073.02	5832.52	5512.49	-42687.98	-40908.85
82	-124240.04	-115600.95	-28476.22	-27051.24	5845.25	5555.96	-42689.68	-40913.16
83	-124146.48	-115443.27	-28453.83	-27024.24	5841.11	5577.65	-42691.07	-40913.00
84	-124216.39	-115499.73	-28461.29	-27026.76	5852.08	5613.49	-42689.09	-40914.54
85	-124158.34	-115473.70	-28450.51	-27018.95	5850.82	5636.11	-42678.52	-40897.37
86	-124081.28	-115331.39	-28441.42	-27003.20	5847.99	5659.72	-42679.19	-40892.82
87	-124044.78	-115311.92	-28396.02	-26957.37	5856.74	5687.41	-42693.97	-40922.86
88	-124221.76	-115451.03	-28461.96	-27018.74	5837.50	5695.32	-42701.38	-40927.24
89	-124319.37	-115525.87	-28493.00	-27046.86	5834.69	5717.56	-42692.53	-40916.20
90	-124228.02	-115479.22	-28452.39	-27002.07	5854.09	5756.62	-42675.25	-40887.87
91	-124148.59	-115380.61	-28425.62	-26986.04	5859.75	5780.63	-42689.20	-40918.26
92	-124304.02	-115517.73	-28493.96	-27042.49	5842.00	5788.68	-42689.12	-40911.24
93	-124207.84	-115408.95	-28481.69	-27032.86	5840.78	5810.00	-42686.03	-40903.70
94	-124170.05	-115378.24	-28455.04	-27006.00	5856.04	5843.85	-42684.05	-40910.59
95	-124312.22	-115476.68	-28497.12	-27045.16	5845.11	5855.92	-42682.29	-40899.20
96	-124215.87	-115426.19	-28461.54	-27006.41	5850.32	5878.24	-42676.77	-40893.68
97	-124158.96	-115325.16	-28442.08	-26988.50	5842.66	5893.04	-42688.49	-40906.78
98	-124229.25	-115404.59	-28481.91	-27030.58	5825.12	5898.07	-42679.83	-40902.65
99	-124261.34	-115428.62	-28481.73	-27026.68	5836.16	5923.61	-42678.27	-40901.13
100	-124106.19	-115279.50	-28421.18	-26961.36	5861.42	5963.64	-42681.44	-40900.60
